dcterms:title,schema:artform,dcterms:alternative,crm:P1_is_identified_by,crm:P54_has_current_permanent_location,schema:geo,dcterms:temporal,crm:P4_has_time-span,crm:P7_took_place_at,schema:locationCreated,schema:geographicArea,schema:creator,schema:contributor,crm:P15_was_influenced_by,dcterms:abstract,crm:P72_has_language,dcterms:subject,schema:itemCondition,schema:observationDate,crm:P31i_was_modified_by,schema:dateModified,restoration_date_string,dcterms:isPartOf,dcterms:hasPart,crm:P59_has_section,schema:artworkSurface,dcterms:isReferencedBy,dcterms:source,dcterms:identifier,dcterms:creator,dcterms:created,dcterms:modified,dcterms:references,dcterms:accessRights,crm:P138i_has_representation,dcterms:image
Le Triomphe de sainte Ursule§Le Martyre à Cologne de sainte Ursule au verso,peinture,,MJAP-P 2247,Musée Jacquemart-André Paris,"48.875438,2.31052",2e moitié du 15e siècle - 2e moitié du 15e siècle,1451§1500,,,,"Maestro della Vergine Cambo§Scaletti, Leonardo di Zanino§Cossa, Francesco del","Cossa, Francesco del","Cossa, Francesco del",,,,,,,,,,,7733e492-de4a-4484-9283-462d395a1465_004§7733e492-de4a-4484-9283-462d395a1465_005§7733e492-de4a-4484-9283-462d395a1465_006§7733e492-de4a-4484-9283-462d395a1465_007§7733e492-de4a-4484-9283-462d395a1465_008§7733e492-de4a-4484-9283-462d395a1465_009§7733e492-de4a-4484-9283-462d395a1465_010§7733e492-de4a-4484-9283-462d395a1465_011,7733e492-de4a-4484-9283-462d395a1465_001§7733e492-de4a-4484-9283-462d395a1465_002§7733e492-de4a-4484-9283-462d395a1465_003,"Maestro della Vergine Cambo , attribué à, Le Triomphe de sainte Ursule, peinture (2e moitié du 15e siècle)",https://agorha.inha.fr/ark:/54721/7733e492-de4a-4484-9283-462d395a1465,7733e492-de4a-4484-9283-462d395a1465,Philomène Renard,03/05/2005,16/11/2023,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/7733e492-de4a-4484-9283-462d395a1465,https://agorha.inha.fr/ark:/54721/d9998678-4111-477b-a99c-2a074908d2c2/doc/2cd9d9b4-e116-4411-a914-745c4eec8e26/original.jpg
"Triomphe de Paul-Emile', Le Triomphe d'Æmilius Paulus avec le triomphe de l'Amour",peinture,,MJAP-P 1822.2,Musée Jacquemart-André Paris,"48.875438,2.31052",1470-1475§3e quart du 15e siècle - 3e quart du 15e siècle,1465§1475§1451§1475,15e siècle,,,"Andrea del Verrocchio§Anonyme florentin§Lippi, Filippino§Del Pollaiolo, Piero§Vincent Delieuvin",Andrea del Verrocchio,,"Selon Van Marle, Raimond (1929) : école de Pollaiuolo.§Cette attribution est réfutée par Mme Bartoli et M. Laclotte.",,,,,,,,,,e6115eaa-05bd-43e3-aef8-a6a3b8b7819e_005§e6115eaa-05bd-43e3-aef8-a6a3b8b7819e_006§e6115eaa-05bd-43e3-aef8-a6a3b8b7819e_007§e6115eaa-05bd-43e3-aef8-a6a3b8b7819e_008§e6115eaa-05bd-43e3-aef8-a6a3b8b7819e_009§e6115eaa-05bd-43e3-aef8-a6a3b8b7819e_010,e6115eaa-05bd-43e3-aef8-a6a3b8b7819e_001§e6115eaa-05bd-43e3-aef8-a6a3b8b7819e_002§e6115eaa-05bd-43e3-aef8-a6a3b8b7819e_003§e6115eaa-05bd-43e3-aef8-a6a3b8b7819e_004,"Andrea del Verrocchio Vers 1435 - 1488, atelier de, Triomphe de Paul-Emile, peinture (Vers 1470 - 1475)",https://agorha.inha.fr/ark:/54721/e6115eaa-05bd-43e3-aef8-a6a3b8b7819e,e6115eaa-05bd-43e3-aef8-a6a3b8b7819e,Laclotte,12/12/2002,16/11/2023,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/e6115eaa-05bd-43e3-aef8-a6a3b8b7819e,https://agorha.inha.fr/ark:/54721/a7941e1f-a969-4db8-8212-c7035034eabc/doc/8678a9e0-9bde-4aad-bcda-5f16ee1e9cb0/original.jpg
Nativité,peinture,,BXM 02021,Musée byzantin et chrétien Athènes§Byzantine and Christian Museum Athens,"37.97592576360662,23.744585284660356",1ère moitié du 15e siècle,1401§1450,,Crète§&lt;They don't know for sure&gt;,"35.15585,24.89502",,,,,,Nativité,,,,,,,,21e9b764-3c2f-4261-b46a-3c536d5f755a_001§21e9b764-3c2f-4261-b46a-3c536d5f755a_002§21e9b764-3c2f-4261-b46a-3c536d5f755a_003§21e9b764-3c2f-4261-b46a-3c536d5f755a_004§21e9b764-3c2f-4261-b46a-3c536d5f755a_005§21e9b764-3c2f-4261-b46a-3c536d5f755a_006§21e9b764-3c2f-4261-b46a-3c536d5f755a_007§21e9b764-3c2f-4261-b46a-3c536d5f755a_008§21e9b764-3c2f-4261-b46a-3c536d5f755a_009§21e9b764-3c2f-4261-b46a-3c536d5f755a_010§21e9b764-3c2f-4261-b46a-3c536d5f755a_011§21e9b764-3c2f-4261-b46a-3c536d5f755a_012§21e9b764-3c2f-4261-b46a-3c536d5f755a_013§21e9b764-3c2f-4261-b46a-3c536d5f755a_014§21e9b764-3c2f-4261-b46a-3c536d5f755a_015§21e9b764-3c2f-4261-b46a-3c536d5f755a_016§21e9b764-3c2f-4261-b46a-3c536d5f755a_017,,"Anonyme , Nativité, peinture (1ère moitié du 15e siècle - )",https://agorha.inha.fr/ark:/54721/21e9b764-3c2f-4261-b46a-3c536d5f755a,21e9b764-3c2f-4261-b46a-3c536d5f755a,Marina Dimaki,27/05/2022,04/04/2024,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/21e9b764-3c2f-4261-b46a-3c536d5f755a,https://agorha.inha.fr/ark:/54721/9189c55f-da4a-45bf-bd20-6015c35c3883/doc/ffdde07a-e785-422a-bb90-ef3a9f9acf71/original.jpg
"Vierge à l'enfant, saint Pierre et saint Paul, saint Georges, Crucifixion et saint Théodore",peinture§triptyque,,5093,Musée de l'Institute of Ethiopian Studies à ajouter,,16e siècle - 17e siècle,1496§1705,,Ethiopie,"9,39.5",,,,,,Vierge à l'Enfant§Les archanges§saint Georges§saint Pierre§saint Paul§Crucifixion,,,,,,,,,,"Vierge à l'enfant, saint Pierre et saint Paul, saint Georges, Crucifixion et saint Théodore, peinture (Vers 16e siècle - Vers 17e siècle)",http://agorha.inha.fr/ark:/54721/f843003d-bdd3-4f7a-aac7-b065b50e91a1,f843003d-bdd3-4f7a-aac7-b065b50e91a1,smirabau,16/07/2021,29/03/2022,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/f843003d-bdd3-4f7a-aac7-b065b50e91a1,http://agorha.inha.fr/ark:/54721/7e80a278-fdff-42d1-b1bf-32b54e7f5d76/doc/b71320e9-4e75-40eb-b787-a11a2c30337a/original.JPG
"Vierge à l'Enfant, Crucifixion et saint Georges panneau dextre, Résurrection et Saints panneau senestre",peinture§triptyque,,6793,Musée de l'Institute of Ethiopian Studies à ajouter,,2e moitié du 18e siècle,1751§1800,,Ethiopie,"9,39.5",,,,,,Crucifixion§saint Georges§ Vierge à l'Enfant§Les archanges§Résurrection du Christ,,,,,,,,,,"Vierge à l'Enfant, Crucifixion et saint Georges (panneau dextre), Résurrection et Saints (panneau senestre), peinture (2e moitié du 18e siècle - )",http://agorha.inha.fr/ark:/54721/a2418922-10e9-4f55-9513-8a32559b47d4,a2418922-10e9-4f55-9513-8a32559b47d4,smirabau,16/07/2021,29/03/2022,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/a2418922-10e9-4f55-9513-8a32559b47d4,http://agorha.inha.fr/ark:/54721/0a2be69a-e451-4364-b8db-5e59322510b0/doc/7f323d03-72e5-4492-9054-43f10bc03336/original.jpg
Pietà,peinture,,7132,Musée de l'Institute of Ethiopian Studies à ajouter,,2e moitié du 17e siècle,1651§1700,,Ethiopie,"9,39.5",,,,,,Vierge de douleur,,,,,,,,,,"Pietà, peinture (2e moitié du 17e siècle - )",http://agorha.inha.fr/ark:/54721/34178e42-deda-4942-a7b5-37c64eb989c4,34178e42-deda-4942-a7b5-37c64eb989c4,smirabau,19/07/2021,29/03/2022,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/34178e42-deda-4942-a7b5-37c64eb989c4,http://agorha.inha.fr/ark:/54721/7e26d6de-6f3c-4104-afc0-799108287e4b/doc/ebf42e21-0ca2-4e89-8b2b-0feed57966d3/original.JPG
Polyptyque de San Venanziano de Camerino§Trittico di Camerino,peinture§polyptyque,Titre d'usage en Italie,INV 20204§INV 20204 bis§INV 20265§INV 20436§INV 20437§INV 20563§INV 20645§INV 20646§INV 20784§MI 449§MI 450,"Musée du Petit Palais Avignon§Pinacoteca Vaticana Vatican§Museum of Fine Arts Boston§Localisation inconnue§La corniche originale du triptyque fut perdue dans le tremblement de terre de 1799 qui détruisit la basilique de San Venanzio. Elle portait l\'inscription selon Lanzi : OPUS NICOLAI FULGINATI 1480. Les panneaux de prédelle ont également disparu suite au démantèlement sous Napoléon en 1808. Alors que certains éléments auparavant disparus sont aujourd\'hui conservés entre le musée du Petit Palais d\'Avignon et du Fine Art Museum de Boston, nous avons perdu la trace de la Pentecôte après son passage dans la collection du conte Gerli à Milan.","43.949317,4.805528§41.90573,12.45277§42.33982,-71.09394",1480,1480§1480,vers,,,Niccolò da Foligno,,,,,,,,,,,https://agorha.inha.fr/ark:/54721/f9db2720-e456-4b74-b46e-1078eff0a443§https://agorha.inha.fr/ark:/54721/fb25fcf3-c08d-4cd4-9157-1567bf3708c2§https://agorha.inha.fr/ark:/54721/ea257da9-c82a-4a6d-96aa-4a3a05365c25§https://agorha.inha.fr/ark:/54721/47cc38d2-8cb1-45b7-bd41-5492414a759e§https://agorha.inha.fr/ark:/54721/afbf43d4-f316-47ae-8597-c4051b54b11d§https://agorha.inha.fr/ark:/54721/97ca1beb-6957-4b80-a3f2-93ea0a678d4e§https://agorha.inha.fr/ark:/54721/7e8903f4-70d3-4a71-a623-2f7b55242018§https://agorha.inha.fr/ark:/54721/9192e3b5-993c-48fe-9eed-6e9d05d7c568§https://agorha.inha.fr/ark:/54721/9a0147d6-a1eb-4dea-a28a-57cf0c3548c2,,,6b7901fe-6315-4f8c-a418-7701f7211951_001,"Niccolò da Foligno , de, Polyptyque de San Venanziano de Camerino, peinture (1480 - )",https://agorha.inha.fr/ark:/54721/6b7901fe-6315-4f8c-a418-7701f7211951,6b7901fe-6315-4f8c-a418-7701f7211951,Philomène Renard,06/07/2023,07/07/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/6b7901fe-6315-4f8c-a418-7701f7211951,https://agorha.inha.fr/ark:/54721/c253c5b7-9764-4257-b42b-fea35c033302/doc/7d6bedbb-71e7-4cf2-b16a-7bfb9221b515/original.jpg
Trois anachorètes,peinture,,985.1.22,Musée des Beaux-Arts Rouen,"49.443232,1.099971",1ère moitié du 16e siècle,1501§1550,,,,,,,,,,,,,,,,,143b1501-dc57-4329-8df8-d58234732851_004§143b1501-dc57-4329-8df8-d58234732851_005§143b1501-dc57-4329-8df8-d58234732851_006§143b1501-dc57-4329-8df8-d58234732851_007§143b1501-dc57-4329-8df8-d58234732851_008§143b1501-dc57-4329-8df8-d58234732851_009§143b1501-dc57-4329-8df8-d58234732851_010,143b1501-dc57-4329-8df8-d58234732851_001§143b1501-dc57-4329-8df8-d58234732851_002§143b1501-dc57-4329-8df8-d58234732851_003§143b1501-dc57-4329-8df8-d58234732851_011,"Trois anachorètes, peinture (1ère moitié du 16e siècle - )",https://agorha.inha.fr/ark:/54721/143b1501-dc57-4329-8df8-d58234732851,143b1501-dc57-4329-8df8-d58234732851,Philomène Renard,25/01/2023,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),,
Ange et Vierge de l'Annonciation,peinture,,Cl. 865a§Cl. 865b,Musée du Petit Palais Avignon§Déposés à Avignon en 1976,"43.949317,4.805528",1405,1400§1410,,Toscane,"43.41667,11","Gherardo Starnina', ""L'attribution au Maître du Bambino Vispo, l'artiste anonyme ainsi baptisé par O. Siren, est due à Berenson. L'identification de cette personnalité artistique avec la personnalité historique de Starnina, à la suite des découvertes de J. Van Waadenoijen et des remarques de L. Bellosi, est aujourd'hui admise par tous.",,,,,,,,,,,https://agorha.inha.fr/ark:/54721/9a457eb5-6cdd-4e3a-9da1-b338770d95c8§https://agorha.inha.fr/ark:/54721/17a6fc0f-78e2-46c7-bc11-4f94dd36198a,,,68f349c1-0512-457f-afef-cc857b735d79_001,"Gherardo Starnina Vers 1360 - Avant 1413, de, Ange et Vierge de l'Annonciation, peinture (Vers 1405 - )",https://agorha.inha.fr/ark:/54721/68f349c1-0512-457f-afef-cc857b735d79,68f349c1-0512-457f-afef-cc857b735d79, Philomène Renard ,19/06/2023,12/02/2024,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/68f349c1-0512-457f-afef-cc857b735d79,https://agorha.inha.fr/ark:/54721/e4460d3a-85c7-48ee-bad7-fa908a8139c3/doc/b9a10db8-6c47-460c-bdc5-c26c212f0b23/original.jpg
Vierge à l'Enfant,peinture,,BEI 475,Musée de la culture byzantine Thessalonique§Musée byzantin et chrétien Athènes,"40.627547525819594,22.95501803955112§37.97592576360662,23.744585284660356",14e siècle,1301§1400,,,,,,,,,Vierge à l'Enfant,,,,,,,,34fbe4b4-c76a-4838-b58d-19e8f962bafb_002§34fbe4b4-c76a-4838-b58d-19e8f962bafb_003§34fbe4b4-c76a-4838-b58d-19e8f962bafb_004§34fbe4b4-c76a-4838-b58d-19e8f962bafb_005§34fbe4b4-c76a-4838-b58d-19e8f962bafb_006§34fbe4b4-c76a-4838-b58d-19e8f962bafb_007§34fbe4b4-c76a-4838-b58d-19e8f962bafb_008§34fbe4b4-c76a-4838-b58d-19e8f962bafb_009,34fbe4b4-c76a-4838-b58d-19e8f962bafb_001,"Anonyme , Vierge à l'Enfant, peinture (14e siècle - )",https://agorha.inha.fr/ark:/54721/34fbe4b4-c76a-4838-b58d-19e8f962bafb,34fbe4b4-c76a-4838-b58d-19e8f962bafb,Marina Dimaki,05/05/2022,04/04/2024,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/34fbe4b4-c76a-4838-b58d-19e8f962bafb,https://agorha.inha.fr/ark:/54721/86e6ac35-c981-42a7-9f94-dc571a9a0ad3/doc/24e93ecd-800d-400e-9749-58c0c657c6a7/original.JPG
La Vierge et l'Enfant,peinture,,MJAP-P 1825,Musée Jacquemart-André Paris,"48.875438,2.31052",2e moitié du 15e siècle - 2e moitié du 15e siècle,1451§1500,,,,Maestro di San Miniato,,,,,,,,,,,,,8b603781-4ebb-436a-9133-d7dee82fcd4b_004§8b603781-4ebb-436a-9133-d7dee82fcd4b_005§8b603781-4ebb-436a-9133-d7dee82fcd4b_006§8b603781-4ebb-436a-9133-d7dee82fcd4b_007§8b603781-4ebb-436a-9133-d7dee82fcd4b_008§8b603781-4ebb-436a-9133-d7dee82fcd4b_009§8b603781-4ebb-436a-9133-d7dee82fcd4b_010,8b603781-4ebb-436a-9133-d7dee82fcd4b_001§8b603781-4ebb-436a-9133-d7dee82fcd4b_002§8b603781-4ebb-436a-9133-d7dee82fcd4b_003,"Maestro di San Miniato , de, La Vierge et l'Enfant, peinture (2e moitié du 15e siècle)",https://agorha.inha.fr/ark:/54721/8b603781-4ebb-436a-9133-d7dee82fcd4b,8b603781-4ebb-436a-9133-d7dee82fcd4b,Philomène Renard,05/01/2002,16/11/2023,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/8b603781-4ebb-436a-9133-d7dee82fcd4b,https://agorha.inha.fr/ark:/54721/ce26ba17-c150-4ad9-8062-6a64c09b6989/doc/43f84e68-611c-4819-815f-9f226634ad72/original.jpg
"Raban Maur, Louanges de la Sainte Croix, Allégorie de la Rédemption, Paris, BnF, Latin 2423 f. 4v",enluminure§manuscrit,Titre de l'enluminure sur f. 4v du manuscrit De laudibus sanctae Crucis Les Louanges de la Sainte Croix de Rabanus Maurus.,Latin 2423,BnF - département des Manuscrits,"48.834355,2.373378",835-848,0830§0848,9e siècle,"Allemagne§Fulda, empire carolingien","52.19498,12.51559",,,école de l'Abbaye de Fulda,"rédacteur, auteur du cycle de poèmes figurés",,Christ - allégorie de la Rédemption§Christ,,,oeuvre restaurée§mauvais état§Les bordures des figures peintes dans une couleur verte ont déterioré le parch. qui a reçu des restaurations au moyen de bandelettes de papier collées au dos des figures; ces restaurations sont responsables d'autres dégâts sur le f. en regard.,,,,,,05b8aa98-441e-429e-9fe1-f9091e656bf0_001§05b8aa98-441e-429e-9fe1-f9091e656bf0_002§05b8aa98-441e-429e-9fe1-f9091e656bf0_003§05b8aa98-441e-429e-9fe1-f9091e656bf0_004§05b8aa98-441e-429e-9fe1-f9091e656bf0_005,"Raban Maur Vers 780 - 856, école de, Raban Maur, Louanges de la Sainte Croix, Allégorie de la Rédemption, Paris, BnF, Latin 2423 f. 4v, enluminure (Vers 835 - Avant 848)§Notice Bibliographique - BnF Archives et Manuscrits§Biblissima, Aubervilliers",https://agorha.inha.fr/ark:/54721/05b8aa98-441e-429e-9fe1-f9091e656bf0§https://archivesetmanuscrits.bnf.fr/ark:/12148/cc94635g§https://portail.biblissima.fr/fr/ark:/43093/ifdata8dfc4fdeb86ed7690b0b4db091e47022b6ab5907§http://mandragore.bnf.fr/ark:/12148/cgfbt111232b,05b8aa98-441e-429e-9fe1-f9091e656bf0,Teresa Knapowska,30/03/2022,18/03/2024,La fabrique de l'art. Couleurs et matériaux de l'enluminure,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/05b8aa98-441e-429e-9fe1-f9091e656bf0,https://agorha.inha.fr/ark:/54721/17c6d83c-efb1-4ba1-a939-e1d13298a790/doc/7a24369e-47f1-42de-8de0-5aed0e5d2d26/original.jpg
L'Adoration des bergers MOD,peinture,,Inv. 20267,Musée du Petit Palais Avignon,"43.949317,4.805528",14e siècle - 14e siècle,1301§1400,,,,Bartolo di Fredi,,,,,,,,,,,,,27eae083-65ae-414c-b2fd-8cc7a2e0b512_004§27eae083-65ae-414c-b2fd-8cc7a2e0b512_005§27eae083-65ae-414c-b2fd-8cc7a2e0b512_006§27eae083-65ae-414c-b2fd-8cc7a2e0b512_007§27eae083-65ae-414c-b2fd-8cc7a2e0b512_008§27eae083-65ae-414c-b2fd-8cc7a2e0b512_009§27eae083-65ae-414c-b2fd-8cc7a2e0b512_010§27eae083-65ae-414c-b2fd-8cc7a2e0b512_011§27eae083-65ae-414c-b2fd-8cc7a2e0b512_012§27eae083-65ae-414c-b2fd-8cc7a2e0b512_013§27eae083-65ae-414c-b2fd-8cc7a2e0b512_014§27eae083-65ae-414c-b2fd-8cc7a2e0b512_015§27eae083-65ae-414c-b2fd-8cc7a2e0b512_016§27eae083-65ae-414c-b2fd-8cc7a2e0b512_017§27eae083-65ae-414c-b2fd-8cc7a2e0b512_018,27eae083-65ae-414c-b2fd-8cc7a2e0b512_001§27eae083-65ae-414c-b2fd-8cc7a2e0b512_002§27eae083-65ae-414c-b2fd-8cc7a2e0b512_003,"Bartolo di Fredi 1330 - 1410, de, L'Adoration des bergers MOD, peinture (14e siècle)§Ministère de la Culture, Paris",https://agorha.inha.fr/ark:/54721/27eae083-65ae-414c-b2fd-8cc7a2e0b512§https://www.pop.culture.gouv.fr/notice/joconde/000PE012487,27eae083-65ae-414c-b2fd-8cc7a2e0b512,Philomène Renard,08/01/2002,12/04/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/27eae083-65ae-414c-b2fd-8cc7a2e0b512,https://agorha.inha.fr/ark:/54721/b3b930fb-8251-4f85-949d-dcb6cc9ec024/doc/b308a1c6-c087-43bb-96ba-696e7d42480c/original.jpg
Saint Christophe,peinture,,M.I.359,Musée du Petit Palais Avignon,"43.949317,4.805528",4e quart du 14e siècle - 4e quart du 14e siècle,1376§1400,,,,"Del Mazza, Tommaso",,,,,,,,,,,,,,8113c573-3235-428e-af78-496dd2715d52_001,"Del Mazza, Tommaso , de, Saint Christophe, peinture (4e quart du 14e siècle)§Ministère de la Culture, Paris",https://agorha.inha.fr/ark:/54721/8113c573-3235-428e-af78-496dd2715d52§https://www.pop.culture.gouv.fr/notice/joconde/000PE012732,8113c573-3235-428e-af78-496dd2715d52,Laclotte,21/12/2001,25/10/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/8113c573-3235-428e-af78-496dd2715d52,https://agorha.inha.fr/ark:/54721/404799ee-de95-45fb-bc30-06098f0aed37/doc/47193e6c-73d4-424f-b801-9339983b20c6/original.jpg
Le Calvaire,peinture,,Inv. 20166,Musée du Petit Palais Avignon,"43.949317,4.805528",1380-1385,1380§1385,,,,"Gaddi, Agnolo",,,,,,,,,,,,,b482639e-d6c9-40a5-9f99-3645ffce63a3_002§b482639e-d6c9-40a5-9f99-3645ffce63a3_003§b482639e-d6c9-40a5-9f99-3645ffce63a3_004§b482639e-d6c9-40a5-9f99-3645ffce63a3_005,b482639e-d6c9-40a5-9f99-3645ffce63a3_001,"Gaddi, Agnolo 1345 - 1396, de, Le Calvaire, peinture (1380 - 1385)§Ministère de la Culture, Paris",https://agorha.inha.fr/ark:/54721/b482639e-d6c9-40a5-9f99-3645ffce63a3§https://www.pop.culture.gouv.fr/notice/joconde/000PE012545,b482639e-d6c9-40a5-9f99-3645ffce63a3,Mecthilde Airiau (pour le bloc matérialité),18/01/2002,22/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/b482639e-d6c9-40a5-9f99-3645ffce63a3,https://agorha.inha.fr/ark:/54721/003729b8-e619-4767-a146-3b9729c1f271/doc/5d5453eb-928f-478a-bd5a-1299caa749a4/original.jpg
Vierge de Kaftoun et Baptême de Jésus,peinture,Nom d\'usage : Notre Dame de Kaftoun,,Liban§Monastère greco-orthodoxe Notre Dame de Kaftoun caza de Koura. L'icône se trouvait dans un couvent désaffecté du Koura. Elle appartient à l'évêché grec orthodoxe du Mont Liban.,"33.83333,35.83333",2e quart du 13e siècle - 3e quart du 13e siècle,1226§1275,,Tripoli§région du comté de Tripoli,"32.87519,13.18746",,,,,,,,,,,,https://agorha.inha.fr/ark:/54721/59930550-3111-4776-add5-d1b26a6c09ff§https://agorha.inha.fr/ark:/54721/0221369a-d5cb-4c70-86bf-26369e10a9e5,,,4d5997dc-09f6-418b-8110-4a94cce60892_001§4d5997dc-09f6-418b-8110-4a94cce60892_003,"Vierge de Kaftoun et Baptême de Jésus, peinture (2e quart du 13e siècle - 3e quart du 13e siècle)",https://agorha.inha.fr/ark:/54721/4d5997dc-09f6-418b-8110-4a94cce60892,4d5997dc-09f6-418b-8110-4a94cce60892,Philomène Renard,14/09/2022,22/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/4d5997dc-09f6-418b-8110-4a94cce60892,https://agorha.inha.fr/ark:/54721/c752d481-d1fb-44c6-aa19-9e52857748a3/doc/fe0be116-44e9-409c-bc73-ac87d975a884/original.jpg
Vierge de tendresse Oumilénié,peinture,,RF 1972-43,Musée du Louvre Paris§Département des Peintures,"48.860591,2.337582",19e siècle,1801§1900,,Russie,"62,100",,,,,,,,,,,,,,,,"Vierge de tendresse (Oumilénié), peinture (19e siècle - )",https://agorha.inha.fr/ark:/54721/87ea2ab3-0e7c-45f2-abbf-a3dd2617779a,87ea2ab3-0e7c-45f2-abbf-a3dd2617779a,prenard,24/01/2023,25/01/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),,https://api.art.rmngp.fr/v1/images/502/1034597/t?t=___c5t4iVL6aPSFOHEgHVA
"Vierge à l'enfant, Résurrection et Saint Georges, Crucifixion",peinture§triptyque,,4232,Musée de l'Institute of Ethiopian Studies à ajouter,,2e moitié du 17e siècle,1651§1700,,Ethiopie,"9,39.5",,,,,,Vierge à l'Enfant§Résurrection du Christ§saint Georges§Crucifixion,,,,,,,,,,"Vierge à l'enfant, Résurrection et Saint Georges, Crucifixion, peinture (2e moitié du 17e siècle - )",http://agorha.inha.fr/ark:/54721/21d8012f-0345-4aea-9dbf-4bdac45f67c2,21d8012f-0345-4aea-9dbf-4bdac45f67c2,smirabau,16/07/2021,30/03/2022,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/21d8012f-0345-4aea-9dbf-4bdac45f67c2,http://agorha.inha.fr/ark:/54721/508f979c-6366-48d0-98e1-5b8b9eed839d/doc/13eba280-3dad-4382-a477-09f578a9aee9/original.jpg
